Index;Daempfung;LimitIndex;Kp;Tn;Tv;UpperLimit;LowerLimit;ITAE;SimTime_s
1;1;1;9.999543285;9.53511584;0.288407315;2;-2;0.593894142;0.2320883
1;1;2;9.999846287;7.314843992;0.301708719;3;-3;0.363489102;0.075818
1;1;3;9.992514371;5.518643087;0.288148636;5;-5;0.239527105;0.0787767
1;1;4;10;4.740315667;0.298343562;10;-10;0.186506655;0.0752612
2;0.7;1;9.968937956;8.59249079;0.349696335;2;-2;0.489508945;0.0787086
2;0.7;2;10;6.822544706;0.35229385;3;-3;0.330953819;0.0733098
2;0.7;3;9.968858233;5.439260344;0.355833054;5;-5;0.229429184;0.0768701
2;0.7;4;9.999082136;4.656508752;0.3509834;10;-10;0.184789739;0.0743143
3;0.6;1;9.94971404;8.370442301;0.380408591;2;-2;0.479211883;0.0834258
3;0.6;2;10;6.761061682;0.381590321;3;-3;0.314644392;0.0727054
3;0.6;3;10;5.273576885;0.359408048;5;-5;0.227615033;0.0729359
3;0.6;4;10;4.629759809;0.368600167;10;-10;0.18419545;0.0875072
4;0.5;1;9.955765535;8.162423655;0.403165896;2;-2;0.437036071;0.0853234
4;0.5;2;10;6.562032804;0.38951447;3;-3;0.306722484;0.0879424
4;0.5;3;10;5.364904469;0.393317616;5;-5;0.222154345;0.0915584
4;0.5;4;9.962151394;4.737266607;0.400835387;10;-10;0.184499197;0.0895587
5;0.4;1;9.990137532;7.946378053;0.416100091;2;-2;0.418759037;0.093512
5;0.4;2;10;6.498088243;0.414083515;3;-3;0.297291721;0.0906087
5;0.4;3;9.985707126;5.439601997;0.425876031;5;-5;0.220468416;0.0931222
5;0.4;4;9.968139322;4.640180222;0.411568819;10;-10;0.183584486;0.08035
6;0.3;1;9.958309494;7.705204544;0.431944844;2;-2;0.406569193;0.0848235
6;0.3;2;10;6.46177284;0.441781066;3;-3;0.290095397;0.0772827
6;0.3;3;9.996334468;5.321317749;0.435278632;5;-5;0.21751054;0.0767025
6;0.3;4;10;4.563069093;0.422853116;10;-10;0.182616907;0.0762109
7;0.2;1;10;7.630781266;0.46204991;2;-2;0.383048079;0.0742752
7;0.2;2;10;6.342987596;0.457688813;3;-3;0.285062842;0.0764359
7;0.2;3;9.973913057;5.252388302;0.452265224;5;-5;0.215658692;0.079519
7;0.2;4;10;4.678343044;0.454154722;10;-10;0.182096222;0.0804679
8;0.1;1;9.949859618;7.289925351;0.459746303;2;-2;0.370809557;0.0815115
8;0.1;2;9.98275053;6.201441256;0.470498852;3;-3;0.277088746;0.0828414
8;0.1;3;9.965053296;5.124253139;0.461670763;5;-5;0.215028628;0.084327
8;0.1;4;9.99277358;4.632156899;0.470387813;10;-10;0.181430208;0.0848992
9;0;1;9.97819473;7.226896753;0.48852405;2;-2;0.361060839;0.0817532
9;0;2;10;6.128348121;0.488851984;3;-3;0.270668816;0.0902555
9;0;3;10;5.222762461;0.492006446;5;-5;0.211812063;0.0770915
9;0;4;9.973304515;4.545077959;0.483106422;10;-10;0.181797223;0.073109
