n,LowerLimit,UpperLimit,Kp_ref,Kp_PSO,Ti_ref,Ti_PSO,Td_ref,Td_PSO,ITAE_ref,ITAE_PSO
1,-2,2,9.3,10.0,2.9,3.115065350180478,0.0,0.0,0.07219251361354047,0.07028061587847866
1,-3,3,9.5,10.0,1.9,1.9871843964512421,0.0,0.0,0.030090101145873863,0.029224990996149485
1,-5,5,9.1,10.0,1.2,1.2773769140773137,0.0,0.0,0.01567450816878997,0.013810695885863478
1,-10,10,10.0,10.0,1.0,0.9994334545221045,0.0,0.0,0.009984999918263135,0.01000230081499661
2,-2,2,10.0,10.0,9.6,9.560797401893225,0.3,0.29723977563069665,0.606225934463596,0.5932896721415157
2,-3,3,10.0,9.960987615574794,7.3,7.28812308792296,0.3,0.3021104304058992,0.3652122786588167,0.36238932606206226
2,-5,5,9.6,10.0,5.4,5.504580392652002,0.3,0.2853488591699431,0.24643883269429176,0.23913975982429145
2,-10,10,9.8,9.974620059822623,4.7,4.667309841707991,0.3,0.2921818014483349,0.19689346855159565,0.18765646546280138
3,-2,2,5.4,5.720388815608485,9.4,9.947817979856492,0.7,0.694201446178304,1.8690757060880168,1.865062708306251
3,-3,3,7.0,6.854025640153673,10.0,9.858623806860212,0.7,0.70635591944237,1.3651739845378301,1.34389292526098
3,-5,5,8.2,8.2863589788155,9.6,9.821453008976652,0.7,0.7153869805055504,1.011914670844675,1.0062121293111097
3,-10,10,10.0,9.965401406831601,9.7,9.805508145022877,0.7,0.7122988652720808,0.8118478132133701,0.8049660676636236
4,-2,2,1.9,1.9141764468840257,5.0,5.046972339791224,1.1,1.111817107103731,4.7117662337731225,4.709479119153645
4,-3,3,2.4,2.3040036519432383,5.9,5.662752355888553,1.2,1.1758577109277488,4.5117745572070085,4.49357157448738
4,-5,5,2.3,2.271451923609778,5.7,5.519356429137618,1.2,1.165382812989242,4.433785069394026,4.395171644878604
4,-10,10,2.1,2.2437814840245354,5.0,5.300603447023938,1.1,1.1532169082485018,4.245377375182132,4.212965344399553
5,-2,2,1.4,1.426560518090383,5.3,5.274102001832989,1.4,1.4606801958846403,9.96345993303873,9.826051769407337
5,-3,3,1.4,1.4220214115320466,5.2,5.228726041777837,1.4,1.458135635902672,9.765665891043778,9.700363022217354
5,-5,5,1.4,1.4204943659964566,5.2,5.150104440110186,1.4,1.4479149355905658,9.6128450682483,9.495249664951539
5,-10,10,1.4,1.4048109084261073,5.0,4.982699639344744,1.4,1.4252557958506045,9.12743886708429,9.099591443821774
6,-2,2,1.1,1.039457992831772,5.5,5.143434206442494,1.7,1.6532360059142,16.782468178040965,16.603264930804322
6,-3,3,1.1,1.0420461439136777,5.5,5.121419735119715,1.7,1.6431635472242727,16.64183860344861,16.40387968117134
6,-5,5,1.1,1.039015187044081,5.4,5.058430931323844,1.7,1.6410460137825358,16.255122628171385,16.069345158963035
6,-10,10,1.1,1.040219276307909,5.3,4.942137017490247,1.7,1.6188015918738243,15.66437820730556,15.409963590929909
