SystemIndex,LimitIndex,Kp,Tn,Tv,UpperLimit,LowerLimit,ITAE
1,1,10,0.1,0,2,-2,0.00441265083359942
1,2,10,0.1,0,3,-3,0.00441265083359942
1,3,10,0.1,0,5,-5,0.00441265083359942
1,4,10,0.1,0,10,-10,0.00441265083359942
2,1,10,0.892475992,0.205608206,2,-2,0.10147086854664
2,2,10,0.859588617,0.21174459,3,-3,0.101325540604297
2,3,10,0.853122584,0.210451375,5,-5,0.101367607588251
2,4,10,0.863267901,0.207508057,10,-10,0.101322295965315
3,1,10,1.34823476,0.633171231,2,-2,0.279176100877221
3,2,9.998432524,1.345745445,0.633301912,3,-3,0.279276248116294
3,3,9.999972681,1.348961649,0.632707257,5,-5,0.279181669700334
3,4,10,1.3492123,0.63205401,10,-10,0.279190913009765
4,1,4.773372334,1.561267174,1.574964175,2,-2,2.44622914598745
4,2,4.773267533,1.557441728,1.57729109,3,-3,2.44617519741053
4,3,4.780277346,1.557222473,1.578648958,5,-5,2.44631913358394
4,4,4.780700027,1.55776307,1.577408028,10,-10,2.44624636656287
5,1,2.464527701,1.931284684,2.528247219,2,-2,9.04605206101368
5,2,2.464633529,1.9376531,2.520883249,3,-3,9.04607805540835
5,3,2.462028611,1.917164295,2.544868237,5,-5,9.04668592888704
5,4,2.466943713,1.936729726,2.517980679,10,-10,9.0463177894389
6,1,1.747341871,3.361826538,2.115539448,2,-2,18.3401450237768
6,2,1.744798694,3.358737593,2.120810673,3,-3,18.3400473344898
6,3,1.746798216,3.363118187,2.118656653,5,-5,18.3401719920083
6,4,1.743080697,3.358669672,2.121837024,10,-10,18.3401217079529
