n,LowerLimit,UpperLimit,Kp_PSO,Ti_PSO,Td_PSO,ITAE_PSO
1,-2,2,10,0.1,0,0.002660239
1,-3,3,10,0.1,0,0.002660239
1,-5,5,10,0.1,0,0.002660239
1,-10,10,10,0.1,0,0.002660239
2,-2,2,10,0.892475992,0.205608206,0.1013532
2,-3,3,10,0.859588617,0.21174459,0.101232841
2,-5,5,10,0.853122584,0.210451375,0.101289445
2,-10,10,10,0.863267901,0.207508057,0.101224144
3,-2,2,10,1.34823476,0.633171231,0.279124718
3,-3,3,9.998432524,1.345745445,0.633301912,0.279210905
3,-5,5,9.999972681,1.348961649,0.632707257,0.279129475
3,-10,10,10,1.3492123,0.63205401,0.279138718
4,-2,2,4.773372334,1.561267174,1.574964175,2.446382912
4,-3,3,4.773267533,1.557441728,1.57729109,2.446380381
4,-5,5,4.780277346,1.557222473,1.578648958,2.446412723
4,-10,10,4.780700027,1.55776307,1.577408028,2.446396388
5,-2,2,2.464527701,1.931284684,2.528247219,9.046208905
5,-3,3,2.464633529,1.9376531,2.520883249,9.046410867
5,-5,5,2.462028611,1.917164295,2.544868237,9.046504428
5,-10,10,2.466943713,1.936729726,2.517980679,9.046667625
6,-2,2,1.747341871,3.361826538,2.115539448,18.32069334
6,-3,3,1.744798694,3.358737593,2.120810673,18.32054379
6,-5,5,1.746798216,3.363118187,2.118656653,18.32052623
6,-10,10,1.743080697,3.358669672,2.121837024,18.32066158
