Index,Daempfung,LimitIndex,Kp,Tn,Tv,UpperLimit,LowerLimit,ITAE,SimTime_s
1,1,1,9.899365441,9.453706797,0.292779689,2,-2,0.596344817195604,0.211565
1,1,2,9.995694962,7.285110247,0.297059585,3,-3,0.362322827287212,0.0878616
1,1,3,9.989991376,5.555385077,0.291972745,5,-5,0.237187623132654,0.0757255
1,1,4,9.975487537,4.759159481,0.301110652,10,-10,0.187312220345265,0.073182
2,0.7,1,9.980242563,8.60559126,0.350202729,2,-2,0.489855018033033,0.0792055
2,0.7,2,9.970447273,6.889607273,0.366205316,3,-3,0.327365233264909,0.0727487
2,0.7,3,10,5.463867214,0.356668886,5,-5,0.228795611742513,0.0755525
2,0.7,4,10,4.746394241,0.359747135,10,-10,0.185311156909724,0.077468
3,0.6,1,9.956827171,8.320983789,0.368711374,2,-2,0.475546416636018,0.0803752
3,0.6,2,9.999916667,6.763290533,0.382091643,3,-3,0.314117847250239,0.0758809
3,0.6,3,9.999676243,5.320236775,0.364638856,5,-5,0.224288215218422,0.0742565
3,0.6,4,10,4.677687863,0.373255878,10,-10,0.184246171299598,0.0738108
4,0.5,1,9.988953632,8.186349872,0.402384623,2,-2,0.435932513908209,0.073045
4,0.5,2,10,6.50731739,0.380790164,3,-3,0.305455405134236,0.0745948
4,0.5,3,9.986260423,5.410704081,0.399537471,5,-5,0.221957765950174,0.0763794
4,0.5,4,10,4.637266696,0.389482654,10,-10,0.183539915273263,0.0735892
5,0.4,1,10,7.969730399,0.418693847,2,-2,0.419293864537671,0.0750911
5,0.4,2,10,6.48924299,0.413002385,3,-3,0.296669864086934,0.0750573
5,0.4,3,9.968658162,5.257641478,0.407203198,5,-5,0.219699730943643,0.0743757
5,0.4,4,9.995127372,4.637676259,0.410125077,10,-10,0.183295103171227,0.0741356
6,0.3,1,9.977056312,7.787755346,0.443273198,2,-2,0.397805726765182,0.0838921
6,0.3,2,10,6.367045344,0.429001723,3,-3,0.289556726473728,0.0791769
6,0.3,3,9.992776018,5.387890855,0.442507229,5,-5,0.21897751119585,0.0903351
6,0.3,4,9.949774816,4.627740929,0.431797547,10,-10,0.184231639365842,0.0804592
7,0.2,1,9.877716928,7.491452195,0.456430419,2,-2,0.384368019942686,0.1007168
7,0.2,2,10,6.306780949,0.452426374,3,-3,0.286512963278519,0.0848993
7,0.2,3,9.993235518,5.210293795,0.446336479,5,-5,0.215748945929866,0.0933933
7,0.2,4,10,4.589940481,0.445733976,10,-10,0.181922265375582,0.0869737
8,0.1,1,9.874774728,7.30412365,0.472003131,2,-2,0.372533462075353,0.0837077
8,0.1,2,9.97891325,6.269646695,0.47939331,3,-3,0.278233026411097,0.0856696
8,0.1,3,9.984139425,5.113823111,0.459293077,5,-5,0.214820905859418,0.0784871
8,0.1,4,10,4.593797672,0.466168684,10,-10,0.181716123343855,0.0779595
9,0,1,9.990152251,7.33737831,0.503420145,2,-2,0.355138251189321,0.0773147
9,0,2,10,6.196096686,0.497196934,3,-3,0.270852286192769,0.0861814
9,0,3,9.999535502,5.175251343,0.487050452,5,-5,0.211707954850196,0.0773602
9,0,4,9.997653904,4.48315553,0.476063369,10,-10,0.181492074833797,0.07537
