D,LowerLimit,UpperLimit,Kp_PSO,Ti_PSO,Td_PSO,ITAE_PSO
1.0,-2,2,9.89936544066455,9.453706796915965,0.2927796889798314,0.5916839889056444
1.0,-3,3,9.99569496237529,7.28511024731152,0.2970595853714284,0.36304581230844
1.0,-5,5,9.989991376143184,5.5553850766455,0.2919727447958988,0.2377444555686349
1.0,-10,10,9.975487536924707,4.759159481324968,0.30111065208419596,0.1879881453093289
0.7,-2,2,9.980242563099992,8.605591260127104,0.35020272867294977,0.4870639324864987
0.7,-3,3,9.970447273335111,6.889607272532447,0.36620531620456387,0.3247416870336825
0.7,-5,5,10.0,5.463867213672742,0.356668886337571,0.22778947359782906
0.7,-10,10,10.0,4.746394240891632,0.35974713546873754,0.18609388326681767
0.6,-2,2,9.956827170501873,8.320983789311097,0.36871137403672677,0.4607456242933118
0.6,-3,3,9.999916667122289,6.763290533497271,0.382091643269627,0.3148162165506026
0.6,-5,5,9.999676243299447,5.320236774538072,0.36463885649711314,0.22535321946370016
0.6,-10,10,10.0,4.677687863137279,0.3732558775395032,0.18509109058153153
0.5,-2,2,9.98895363208716,8.186349872016935,0.402384622583541,0.4368081068590893
0.5,-3,3,10.0,6.507317390075619,0.38079016354808315,0.30609164068979383
0.5,-5,5,9.986260423357345,5.410704081337955,0.399537471425398,0.22330749642629572
0.5,-10,10,10.0,4.637266695621254,0.38948265391405507,0.18489542871128836
0.4,-2,2,10.0,7.969730398710812,0.41869384737261445,0.4160799724459241
0.4,-3,3,10.0,6.489242990202835,0.4130023851339974,0.29699498835308036
0.4,-5,5,9.9686581620476,5.25764147764804,0.4072031976934619,0.22109630090861787
0.4,-10,10,9.995127372330307,4.63767625937987,0.41012507711358887,0.18416584998922528
0.3,-2,2,9.977056312429559,7.787755345543647,0.44327319849292995,0.3983083387585319
0.3,-3,3,10.0,6.367045343519257,0.4290017227088657,0.29007142260044155
0.3,-5,5,9.992776018128735,5.387890855383451,0.44250722851416,0.21959690843611554
0.3,-10,10,9.94977481633021,4.627740928854643,0.43179754741783744,0.18513826741649636
0.2,-2,2,9.877716928042554,7.491452194714549,0.45643041892696773,0.38367705227836046
0.2,-3,3,10.0,6.306780949089993,0.45242637364140575,0.2831225924344508
0.2,-5,5,9.993235517696272,5.210293794787287,0.44633647876307764,0.2163459131875254
0.2,-10,10,10.0,4.589940481487352,0.44573397579935187,0.18298598044018527
0.1,-2,2,9.874774728390975,7.304123649891034,0.47200313114950054,0.3693328016321696
0.1,-3,3,9.978913249975289,6.269646694577898,0.4793933095964994,0.2783408616747785
0.1,-5,5,9.984139424991163,5.1138231110206975,0.4592930765701956,0.21515989895708904
0.1,-10,10,10.0,4.593797671772411,0.46616868444241877,0.18304262533129792
0.0,-2,2,9.990152250960842,7.3373783096814,0.503420145398957,0.35592979090320914
0.0,-3,3,10.0,6.196096685752894,0.4971969339981546,0.27178608033009627
0.0,-5,5,9.999535501956222,5.175251343098105,0.4870504518505814,0.21275166668554985
0.0,-10,10,9.997653904424327,4.483155530454029,0.47606336896788437,0.1825938023957209
