Index,Daempfung,LimitIndex,Kp,Tn,Tv,UpperLimit,LowerLimit,ITAE,SimTime_s
1,1,1,9.999543285,9.53511584,0.288407315,2,-2,0.593894142267267,0.1508838
1,1,2,9.999846287,7.314843992,0.301708719,3,-3,0.363489102373555,0.1110119
1,1,3,9.992514371,5.518643087,0.288148636,5,-5,0.239527105222234,0.1088707
1,1,4,10,4.740315667,0.298343562,10,-10,0.186506654880475,0.105928
2,0.7,1,9.968937956,8.59249079,0.349696335,2,-2,0.489508944679798,0.1053438
2,0.7,2,10,6.822544706,0.35229385,3,-3,0.330953818938687,0.1028797
2,0.7,3,9.968858233,5.439260344,0.355833054,5,-5,0.22942918416457,0.1082134
2,0.7,4,9.999082136,4.656508752,0.3509834,10,-10,0.184789738658742,0.1039041
3,0.6,1,9.94971404,8.370442301,0.380408591,2,-2,0.479211882614213,0.1042725
3,0.6,2,10,6.761061682,0.381590321,3,-3,0.314644392264417,0.1061541
3,0.6,3,10,5.273576885,0.359408048,5,-5,0.227615032712649,0.1104221
3,0.6,4,10,4.629759809,0.368600167,10,-10,0.184195449515392,0.113832
4,0.5,1,9.955765535,8.162423655,0.403165896,2,-2,0.437036071149813,0.1115376
4,0.5,2,10,6.562032804,0.38951447,3,-3,0.306722483819488,0.1094592
4,0.5,3,10,5.364904469,0.393317616,5,-5,0.222154344635695,0.1042239
4,0.5,4,9.962151394,4.737266607,0.400835387,10,-10,0.184499196831174,0.1066055
5,0.4,1,9.990137532,7.946378053,0.416100091,2,-2,0.418759037177537,0.1046669
5,0.4,2,10,6.498088243,0.414083515,3,-3,0.297291721464933,0.1065748
5,0.4,3,9.985707126,5.439601997,0.425876031,5,-5,0.220468416447259,0.1170658
5,0.4,4,9.968139322,4.640180222,0.411568819,10,-10,0.183584485631613,0.1166299
6,0.3,1,9.958309494,7.705204544,0.431944844,2,-2,0.406569193157044,0.1017328
6,0.3,2,10,6.46177284,0.441781066,3,-3,0.290095396513706,0.1109078
6,0.3,3,9.996334468,5.321317749,0.435278632,5,-5,0.217510539962251,0.1145351
6,0.3,4,10,4.563069093,0.422853116,10,-10,0.182616907283883,0.1087437
7,0.2,1,10,7.630781266,0.46204991,2,-2,0.383048078825572,0.1076863
7,0.2,2,10,6.342987596,0.457688813,3,-3,0.285062842492676,0.1053086
7,0.2,3,9.973913057,5.252388302,0.452265224,5,-5,0.21565869219874,0.1171483
7,0.2,4,10,4.678343044,0.454154722,10,-10,0.182096221922952,0.1122581
8,0.1,1,9.949859618,7.289925351,0.459746303,2,-2,0.370809556939271,0.1416075
8,0.1,2,9.98275053,6.201441256,0.470498852,3,-3,0.277088746431396,0.1104396
8,0.1,3,9.965053296,5.124253139,0.461670763,5,-5,0.21502862788918,0.1099486
8,0.1,4,9.99277358,4.632156899,0.470387813,10,-10,0.18143020790257,0.1103179
9,0,1,9.97819473,7.226896753,0.48852405,2,-2,0.361060839473864,0.1069989
9,0,2,10,6.128348121,0.488851984,3,-3,0.27066881612944,0.1048086
9,0,3,10,5.222762461,0.492006446,5,-5,0.21181206341081,0.1077201
9,0,4,9.973304515,4.545077959,0.483106422,10,-10,0.181797222737886,0.1099958
