Index,Daempfung,LimitIndex,Kp,Tn,Tv,UpperLimit,LowerLimit,ITAE,SimTime_s
1,1,1,10,9.6,0.3,2,-2,0.611594027833805,0.3566408
1,1,2,10,7.3,0.3,3,-3,0.361667823317967,0.1202343
1,1,3,9.6,5.4,0.3,5,-5,0.241844359025091,0.1028806
1,1,4,9.8,4.7,0.3,10,-10,0.195364700820814,0.0981383
2,0.7,1,10,8.6,0.35,2,-2,0.494247675097832,0.0979503
2,0.7,2,10,6.8,0.35,3,-3,0.326170402773016,0.096951
2,0.7,3,10,5.4,0.35,5,-5,0.226646114285816,0.104324
2,0.7,4,9.9,4.6,0.35,10,-10,0.188524750712205,0.1046586
3,0.6,1,9.8,8.3,0.4,2,-2,0.459852887110135,0.1274927
3,0.6,2,10,6.9,0.4,3,-3,0.322626551227202,0.1519592
3,0.6,3,10,5.2,0.35,5,-5,0.232653388516879,0.1185273
3,0.6,4,9.9,4.9,0.4,10,-10,0.191861274067701,0.1285451
4,0.5,1,9.9,8.1,0.4,2,-2,0.439039524379135,0.1893308
4,0.5,2,9.8,6.5,0.4,3,-3,0.310278580139065,0.1764468
4,0.5,3,9.8,5.3,0.4,5,-5,0.226162479204767,0.1595162
4,0.5,4,9.9,4.7,0.4,10,-10,0.18543684655658,0.194721
5,0.4,1,9.7,7.6,0.4,2,-2,0.421615587454636,0.2199107
5,0.4,2,10,6.4,0.4,3,-3,0.299181171232251,0.2857338
5,0.4,3,10,5.2,0.4,5,-5,0.224054960143189,0.2266641
5,0.4,4,9.9,4.5,0.4,10,-10,0.188989168697093,0.1169686
6,0.3,1,9.4,7.3,0.45,2,-2,0.403624999764443,0.1658546
6,0.3,2,9.7,6.3,0.45,3,-3,0.294338278975227,0.2286536
6,0.3,3,9.9,5.4,0.45,5,-5,0.221106198476685,0.2311118
6,0.3,4,9.9,4.8,0.45,10,-10,0.188370162715892,0.1943593
7,0.2,1,9.7,7.3,0.45,2,-2,0.386649919123041,0.2104481
7,0.2,2,9.9,6.2,0.45,3,-3,0.284629078814906,0.1327922
7,0.2,3,9.9,5.2,0.45,5,-5,0.223444269694466,0.1269602
7,0.2,4,9.9,4.6,0.45,10,-10,0.190178947829662,0.1245538
8,0.1,1,9.9,7.5,0.5,2,-2,0.371935902287259,0.133156
8,0.1,2,9.8,6.3,0.5,3,-3,0.282957162613176,0.1226678
8,0.1,3,10,5.5,0.5,5,-5,0.221305396776112,0.1197608
8,0.1,4,9.9,4.9,0.5,10,-10,0.192505696849769,0.1278828
9,0,1,10,7.3,0.5,2,-2,0.356601843800972,0.1221834
9,0,2,10,6.2,0.5,3,-3,0.280109159464161,0.1231585
9,0,3,10,5.3,0.5,5,-5,0.212885659250216,0.1396116
9,0,4,9.9,4.7,0.5,10,-10,0.192366078203933,0.170712
