SystemIndex,LimitIndex,Kp,Tn,Tv,UpperLimit,LowerLimit,ITAE
1,1,9.3,2.9,0,2,-2,0.0653630861656193
1,2,9.5,1.9,0,3,-3,0.0385754040982254
1,3,9.1,1.2,0,5,-5,0.0221791441495702
1,4,10,1,0,10,-10,0.018579713228017
2,1,10,9.6,0.3,2,-2,0.611594027833805
2,2,10,7.3,0.3,3,-3,0.361667823317967
2,3,9.6,5.4,0.3,5,-5,0.241844359025091
2,4,9.8,4.7,0.3,10,-10,0.195364700820814
3,1,5.4,9.4,0.7,2,-2,1.8719320366053
3,2,7,10,0.7,3,-3,1.34806643815536
3,3,8.2,9.6,0.7,5,-5,1.01067402479792
3,4,10,9.7,0.7,10,-10,0.81008454664591
4,1,1.9,5,1.1,2,-2,4.69519336913202
4,2,2.4,5.9,1.2,3,-3,4.50998119073806
4,3,2.3,5.7,1.2,5,-5,4.43241058761919
4,4,2.1,5,1.1,10,-10,4.24473306089376
5,1,1.4,5.3,1.4,2,-2,9.96313564306709
5,2,1.4,5.2,1.4,3,-3,9.76391231243683
5,3,1.4,5.2,1.4,5,-5,9.61351858499155
5,4,1.4,5,1.4,10,-10,9.12941646898918
6,1,1.1,5.5,1.7,2,-2,16.7860716240097
6,2,1.1,5.5,1.7,3,-3,16.6437268160842
6,3,1.1,5.4,1.7,5,-5,16.2603167330448
6,4,1.1,5.3,1.7,10,-10,15.6701870949316
