SystemIndex,LimitIndex,Kp,Tn,Tv,UpperLimit,LowerLimit,ITAE
1,1,10,3.11506535,0,2,-2,0.0641286150197529
1,2,10,1.987184396,0,3,-3,0.0357167826013464
1,3,10,1.277376914,0,5,-5,0.0225027601333972
1,4,10,0.999433455,0,10,-10,0.0185051532978009
2,1,10,9.560797402,0.297239776,2,-2,0.592526202656716
2,2,9.960987616,7.288123088,0.30211043,3,-3,0.363960940486591
2,3,10,5.504580393,0.285348859,5,-5,0.237910863484066
2,4,9.97462006,4.667309842,0.292181801,10,-10,0.186934900031303
3,1,5.720388816,9.94781798,0.694201446,2,-2,1.86680576540537
3,2,6.85402564,9.858623807,0.706355919,3,-3,1.35593036824448
3,3,8.286358979,9.821453009,0.715386981,5,-5,1.00483744894845
3,4,9.965401407,9.805508145,0.712298865,10,-10,0.803466623137699
4,1,1.914176447,5.04697234,1.111817107,2,-2,4.69584997649667
4,2,2.304003652,5.662752356,1.175857711,3,-3,4.49209977458349
4,3,2.271451924,5.519356429,1.165382813,5,-5,4.39389772606376
4,4,2.243781484,5.300603447,1.153216908,10,-10,4.21285118322634
5,1,1.426560518,5.274102002,1.460680196,2,-2,9.82618414767829
5,2,1.422021412,5.228726042,1.458135636,3,-3,9.69964908301625
5,3,1.420494366,5.15010444,1.447914936,5,-5,9.49810455147086
5,4,1.404810908,4.982699639,1.425255796,10,-10,9.10236133041673
6,1,1.039457993,5.143434206,1.653236006,2,-2,16.6073047755004
6,2,1.042046144,5.121419735,1.643163547,3,-3,16.409770255828
6,3,1.039015187,5.058430931,1.641046014,5,-5,16.075586625072
6,4,1.040219276,4.942137017,1.618801592,10,-10,15.4198479058641
