SystemIndex,LimitIndex,Kp,Tn,Tv,UpperLimit,LowerLimit,ITAE
1,1,9.3,2.9,0,2,-2,3.75789417398643
1,2,9.5,1.9,0,3,-3,1.73117298077933
1,3,9.1,1.2,0,5,-5,1.96282471772627
1,4,10,1,0,10,-10,2.5854886739905
2,1,10,9.6,0.3,2,-2,5.11484163956224
2,2,10,7.3,0.3,3,-3,4.32850486145532
2,3,9.6,5.4,0.3,5,-5,3.04419361281822
2,4,9.8,4.7,0.3,10,-10,2.36392946865812
3,1,5.4,9.4,0.7,2,-2,2.30833074175986
3,2,7,10,0.7,3,-3,2.35669032704996
3,3,8.2,9.6,0.7,5,-5,2.54320159871482
3,4,10,9.7,0.7,10,-10,2.71168057840034
4,1,1.9,5,1.1,2,-2,5.37400169033917
4,2,2.4,5.9,1.2,3,-3,6.27302687550901
4,3,2.3,5.7,1.2,5,-5,5.89953783552532
4,4,2.1,5,1.1,10,-10,4.46966114845205
5,1,1.4,5.3,1.4,2,-2,74.6798582804864
5,2,1.4,5.2,1.4,3,-3,62.7483243973134
5,3,1.4,5.2,1.4,5,-5,62.8513839308599
5,4,1.4,5,1.4,10,-10,61.1066828000643
6,1,1.1,5.5,1.7,2,-2,14.3607952989114
6,2,1.1,5.5,1.7,3,-3,14.0209571606509
6,3,1.1,5.4,1.7,5,-5,13.387005343897
6,4,1.1,5.3,1.7,10,-10,12.1721470157184
