SystemIndex,LimitIndex,Kp,Tn,Tv,UpperLimit,LowerLimit,ITAE
1,1,9.3,2.9,0,1,-1,2.9835261248968
1,2,9.5,1.9,0,2,-2,4.11481313391475
1,3,9.1,1.2,0,5,-5,1.93337952858137
1,4,10,1,0,10,-10,2.44145355722105
2,1,10,9.6,0.3,1,-1,25.9580799547924
2,2,10,7.3,0.3,2,-2,1.74774262480752
2,3,9.6,5.4,0.3,5,-5,1.88742750465437
2,4,9.8,4.7,0.3,10,-10,1.58912618022121
3,1,5.4,9.4,0.7,1,-1,2.99806130168318
3,2,7,10,0.7,2,-2,1.68276056006339
3,3,8.2,9.6,0.7,5,-5,1.34630067928885
3,4,10,9.7,0.7,10,-10,1.38386286353981
4,1,1.9,5,1.1,1,-1,4.43246631181384
4,2,2.4,5.9,1.2,2,-2,4.0338700735089
4,3,2.3,5.7,1.2,5,-5,3.77490678624496
4,4,2.1,5,1.1,10,-10,3.20941517171563
5,1,1.4,5.3,1.4,1,-1,33.9260164349404
5,2,1.4,5.2,1.4,2,-2,23.9441594352842
5,3,1.4,5.2,1.4,5,-5,23.971636787865
5,4,1.4,5,1.4,10,-10,23.6437150836159
6,1,1.1,5.5,1.7,1,-1,7.89136623755784
6,2,1.1,5.5,1.7,2,-2,7.71886027004016
6,3,1.1,5.4,1.7,5,-5,7.32285877930507
6,4,1.1,5.3,1.7,10,-10,6.78374222570249
