PSO pt2;;;;;;;;;;
D;LowerLimit;UpperLimit;Kp_ref;Kp_PSO;Ti_ref;Ti_PSO;Td_ref;Td_PSO;ITAE_ref;ITAE_PSO
1;-2;2;10;9.999543285;9.6;9.53511584;0.3;0.288407315;0.606225934;0.592191045
1;-3;3;10;9.999846287;6.8;7.314843992;0.3;0.301708719;0.3633872;0.362093833
1;-5;5;9.6;9.992514371;5.4;5.518643087;0.3;0.288148636;0.246438833;0.241089053
1;-10;10;9.8;10;4.7;4.740315667;0.3;0.298343562;0.196893469;0.187425548
0.7;-2;2;10;9.968937956;8.6;8.59249079;0.35;0.349696335;0.499781098;0.487012709
0.7;-3;3;10;10;6.8;6.822544706;0.35;0.35229385;0.328496184;0.324704578
0.7;-5;5;10;9.968858233;5.4;5.439260344;0.35;0.355833054;0.230316461;0.228056798
0.7;-10;10;9.9;9.999082136;4.6;4.656508752;0.35;0.3509834;0.189176625;0.185714164
0.6;-2;2;9.8;9.94971404;8.3;8.370442301;0.4;0.380408591;0.482159077;0.460014316
0.6;-3;3;10;10;6.9;6.761061682;0.4;0.381590321;0.323387778;0.314248414
0.6;-5;5;10;10;5.2;5.273576885;0.35;0.359408048;0.230813788;0.226111635
0.6;-10;10;9.9;10;4.9;4.629759809;0.4;0.368600167;0.192686296;0.185184926
0.5;-2;2;9.9;9.955765535;8.1;8.162423655;0.4;0.403165896;0.439313379;0.437088368
0.5;-3;3;9.8;10;6.5;6.562032804;0.4;0.38951447;0.310257853;0.308004657
0.5;-5;5;9.8;10;5.3;5.364904469;0.4;0.393317616;0.227781758;0.222917567
0.5;-10;10;9.9;9.962151394;4.7;4.737266607;0.4;0.400835387;0.186949375;0.185987452
0.4;-2;2;9.7;9.990137532;7.6;7.946378053;0.4;0.416100091;0.425283026;0.415985709
0.4;-3;3;10;10;6.4;6.498088243;0.4;0.414083515;0.29966027;0.297462637
0.4;-5;5;10;9.985707126;5.2;5.439601997;0.4;0.425876031;0.225765466;0.221145686
0.4;-10;10;9.9;9.968139322;4.5;4.640180222;0.4;0.411568819;0.190494121;0.184542505
0.3;-2;2;9.4;9.958309494;7.3;7.705204544;0.45;0.431944844;0.418799505;0.398334066
0.3;-3;3;9.7;10;6.3;6.46177284;0.45;0.441781066;0.293531882;0.289916753
0.3;-5;5;9.9;9.996334468;5.4;5.321317749;0.45;0.435278632;0.221624995;0.218316964
0.3;-10;10;9.9;10;4.8;4.563069093;0.45;0.422853116;0.189844066;0.183817597
0.2;-2;2;9.7;10;7.3;7.630781266;0.45;0.46204991;0.385999129;0.382270607
0.2;-3;3;9.9;10;6.2;6.342987596;0.45;0.457688813;0.291286953;0.285030752
0.2;-5;5;9.9;9.973913057;5.2;5.252388302;0.45;0.452265224;0.223639402;0.216951072
0.2;-10;10;9.9;10;4.6;4.678343044;0.45;0.454154722;0.191575729;0.183448228
0.1;-2;2;9.9;9.949859618;7.5;7.289925351;0.5;0.459746303;0.375774415;0.369215116
0.1;-3;3;9.8;9.98275053;6.3;6.201441256;0.5;0.470498852;0.284026204;0.277562973
0.1;-5;5;10;9.965053296;5.5;5.124253139;0.5;0.461670763;0.22233142;0.21521963
0.1;-10;10;9.9;9.99277358;4.9;4.632156899;0.5;0.470387813;0.193878237;0.182640113
0;-2;2;10;9.97819473;7.3;7.226896753;0.5;0.48852405;0.368077704;0.355942262
0;-3;3;10;10;6.2;6.128348121;0.5;0.488851984;0.281296114;0.271537606
0;-5;5;10;10;5.3;5.222762461;0.5;0.492006446;0.213796203;0.212813416
0;-10;10;9.9;9.973304515;4.7;4.545077959;0.5;0.483106422;0.193722741;0.183125786
